"","城市","jd","wd"
"1","    北 京",116.4666667,39.9
"2","    上 海",121.4833333,31.23333333
"3","    天 津",117.1833333,39.15
"4","    重 庆",106.5333333,29.53333333
"5","    哈尔滨",126.6833333,45.75
"6","    长 春",125.3166667,43.86666667
"7","    沈 阳",123.4,41.83333333
"8","    呼和浩特",111.8,40.81666667
"9","    石家庄",114.4666667,38.03333333
"10","    太 原",112.5666667,37.86666667
"11","    济 南",117,36.63333333
"12","    郑 州",113.7,34.8
"13","    西 安",108.9,34.26666667
"14","    兰 州",103.8166667,36.05
"15","    银 川",106.2666667,38.33333333
"16","    西 宁",101.75,36.63333333
"17","    乌鲁木齐",87.6,43.8
"18","    合 肥",117.3,31.85
"19","    南 京",118.8333333,32.03333333
"20","    杭 州",120.15,30.23333333
"21","    长 沙",113,28.18333333
"22","    南 昌",115.8666667,28.68333333
"23","    武 汉",114.35,30.61666667
"24","    成 都",104.0833333,30.65
"25","    贵 阳",106.7,26.58333333
"26","    福 州",119.3,26.08333333
"27","    台 北",121.5166667,25.05
"28","    广 州",113.25,23.13333333
"29","    海 口",110.3333333,20.03333333
"30","    南 宁",108.3333333,22.8
"31","    昆 明",102.6833333,25
"32","    拉 萨",91.16666667,29.66666667
"33","    香 港",114.1666667,22.3
"34","    澳门",113.5,22.2
